TransactionId,TransactionType,TransactionDate,TransactionTime,PriorBalance,TransactionAmount,SourceAccountNumber,TargetAccountNumber,Description
a6cbc102-481f-4bfc-aa0f-c17d1b055bf7,Withdraw,2025/3/1,12:00,5000.00,3015.70,18176197,18176197,Rent payment
dc3a419c-f637-4672-ac1c-c8c42601c6b2,Withdraw,2025/3/1,21:00,1984.30,182.00,18176197,18176197,Debit card purchase
609d08d6-897e-4f2d-9f7e-eefbf4454204,Withdraw,2025/3/3,8:00,1802.30,400.00,18176197,18176197,Withdraw for expenses
79fa89d3-e083-4578-88b7-c7f5168785e7,Bank Fee,2025/3/3,12:00,1402.30,50.00,18176197,18176197,-(BANK FEE)
45738223-afdd-420a-b9b7-e3e0c454e511,Bank Refund,2025/3/5,12:00,1352.30,100.00,18176197,18176197,Refund for overcharge -(BANK REFUND)
433f10ef-01c7-47e1-bfa2-aee38664fb70,Withdraw,2025/3/8,21:00,1452.30,169.00,18176197,18176197,Debit card purchase
d8744c85-daa1-4499-a98b-e75af319c9f3,Withdraw,2025/3/10,8:00,1283.30,400.00,18176197,18176197,Withdraw for expenses
0f21de14-9b3c-4179-9879-27575e50882b,Bank Fee,2025/3/10,12:00,883.30,50.00,18176197,18176197,-(BANK FEE)
3752cd4e-0cee-4ebc-8809-09a8982d4c86,Deposit,2025/3/14,12:00,833.30,3639.00,18176197,18176197,Bi-monthly salary deposit
f5e4d18e-e26a-4d7b-968a-7ba888fb0bd2,Withdraw,2025/3/15,21:00,4472.30,187.00,18176197,18176197,Debit card purchase
2e5d982c-9367-4da2-a7b4-4f42488f17bc,Withdraw,2025/3/17,8:00,4285.30,400.00,18176197,18176197,Withdraw for expenses
8f2adc8e-f53e-4468-84cc-5279100e29fa,Withdraw,2025/3/20,12:00,3885.30,62.00,18176197,18176197,Auto-pay waste management bill
c4090ded-fdd4-43cd-b0f7-d56373c04fab,Withdraw,2025/3/20,12:00,3823.30,84.00,18176197,18176197,Auto-pay water and sewer bill
172c8102-f0ef-4a40-be2c-d0bacac84ebf,Withdraw,2025/3/20,12:00,3739.30,105.00,18176197,18176197,Auto-pay gas and electric bill
d56ea863-989a-4256-9034-346b3847a869,Withdraw,2025/3/20,12:00,3634.30,152.00,18176197,18176197,Auto-pay health club membership
e1055e6f-bd90-403c-9e24-21910cbdb941,Withdraw,2025/3/22,21:00,3482.30,184.00,18176197,18176197,Debit card purchase
4493860e-779a-45fc-af62-0972aa32130e,Withdraw,2025/3/24,8:00,3298.30,400.00,18176197,18176197,Withdraw for expenses
f1042e2e-5485-4626-a935-df5fff023942,Withdraw,2025/3/31,12:00,2898.30,1532.75,18176197,18176197,Auto-pay credit card bill
4d0edf95-18b8-4413-8995-22b3a0add782,Deposit,2025/3/31,12:00,1365.55,3639.00,18176197,18176197,Bi-monthly salary deposit
1d660d61-1e41-40b2-97c1-fc3143ca7bc8,Transfer,2025/3/31,12:00,5004.55,900.00,18176197,18176197,Transfer from checking to savings account-(TRANSFER)
979b6b8a-3da9-4f34-884f-3a48511a1575,Transfer,2025/3/31,12:00,15000.00,900.00,18176198,18176198,Transfer from checking to savings account-(TRANSFER)
